"","WINP","PTS","FGP","TPP","FTP","REB","AST","TOV","STL","BLK"
"137",0.5,107.9,45.9,37.5,78,43.7,21.1,13.7,7,5
"138",0.488,111.7,46.9,36.8,77.4,46.4,25.3,15,6.9,3.9
"139",0.451,101.3,44.9,33,71.9,45.7,21.1,11.9,7,3.8
"140",0.439,104.9,44.2,35.1,81.5,43.6,23.1,11.5,7,4.8
"141",0.415,104.3,45,35,75,43.7,22.8,12.9,7.8,5.5
"142",0.402,97.9,44,35.5,80.1,38.6,20.8,11.9,7.5,3.7
"143",0.39,102.8,46.1,37.6,77.5,41.1,22.5,14.6,7.6,4
"144",0.378,105.6,46.7,34.9,79.9,42.4,23.7,14,8,4.5
"145",0.378,104.3,44.7,34.8,78.8,45.2,21.8,13.9,7.1,5.5
"146",0.354,101.1,44,32.8,74.7,43.2,22.2,13.3,7.1,4.8
"147",0.341,102.4,44.2,34,77.1,42.8,23.8,16.7,8.4,5.1
"148",0.317,104.6,45,34.6,75.4,43.5,20.9,15.2,8.2,3.9
"149",0.293,107.7,45,33.2,77.6,45,19.6,15.4,8.2,4.9
"150",0.244,105.8,44.4,33.8,78.8,43.9,21.4,16.5,7.2,4.7
"151",0.89,114.9,48.7,41.6,76.3,46.2,28.9,15.2,8.4,6.1
"152",0.817,103.5,48.4,37.5,80.3,43.9,24.5,13.1,8.3,5.9
"153",0.695,104.3,46,36.2,74.8,44.5,22.7,13.6,6.7,3.9
"154",0.683,102.7,45.1,37,77.7,43.4,18.7,13.1,7.8,5.5
"155",0.671,110.2,47.6,34.9,78.2,48.6,23,15.9,7.4,5.9
"156",0.646,104.5,46.5,36.4,69.2,42,22.8,13,8.6,5.6
"157",0.585,102.8,45.8,35,78.3,42.1,25.6,15,9.1,5.9
"158",0.585,105.7,43.9,33.5,78.8,44.9,24.2,13.7,9.2,4.2
"159",0.585,103.4,43.9,36.2,79,43.9,21.7,12.5,7.3,5.3
"160",0.585,100,47,33.6,74.4,44.1,20.8,14.1,6.7,6.5
"161",0.549,102.2,45,35.1,76.4,44.2,21.2,14.9,9,4.8
"162",0.537,102,43.9,34.5,66.8,46.3,19.4,13.5,7,3.7
"163",0.537,105.1,45,37,75.4,45.5,21.3,14.6,6.9,4.6
"164",0.512,101.6,44.1,37.1,78.7,46.3,22.8,13.9,6,5.7
"165",0.512,102.3,44.4,34.4,79.4,43.1,22.1,12.8,6.8,3.7
"166",0.512,99.1,44,33.1,78.3,41.6,20.7,13.3,8.8,4.3
"167",0.5,106.5,45.2,34.7,69.4,43.1,22.2,15.9,10,5.2
"168",0.5,104.1,46,35.8,73,41.8,24.5,14.5,8.6,3.9
"169",0.488,97.7,44.9,35.5,74.4,43.2,19,14.9,7.7,5.2
"170",0.427,102.1,45.5,35,75.7,43.3,23.6,14.1,8.2,5.1
"171",0.402,101.9,44.2,33.8,76.6,44.6,22.7,14.7,7.4,4.8
"172",0.402,99,46.7,34.5,74.7,41.7,23.1,15.2,8.2,5.8
"173",0.402,106.6,46.4,35.9,72.5,44.2,24.5,16.2,8.9,4.5
"174",0.39,98.4,43.9,34.6,80.5,44.4,20.5,13.4,5.7,5.7
"175",0.366,102.7,44.8,36,77.6,42.6,22.2,13.4,7.7,4.2
"176",0.354,102.4,46.4,33.8,79.2,41.6,23.4,15,8,4.6
"177",0.28,100.9,43.5,34.8,75.1,44.8,20.7,17.2,7.7,3.8
"178",0.256,98.6,45.3,35.2,75.7,42.4,22.3,14.8,7.6,4
"179",0.207,97.3,41.4,31.7,78.1,43,18,13.7,7.2,4.1
"180",0.122,97.4,43.1,33.9,69.4,41.2,21.5,16.4,8.3,6
"181",0.817,110,47.8,39.8,76.8,44.7,27.4,14.5,9.3,6
"182",0.732,102.5,46.6,38,77.8,40.6,25.7,14.2,9.1,4.6
"183",0.683,103.9,44.4,34.8,71.5,43.7,22.2,16.7,9.5,5
"184",0.683,106.7,47.3,37.6,71,42.6,24.8,12.3,7.8,5
"185",0.671,98.3,45.8,33.9,77.3,42.6,21.7,13.3,8.5,4.2
"186",0.671,103.2,46.8,36.7,78,43.6,24.4,14,8,5.4
"187",0.646,103.1,45.8,36.7,75.1,43,22.1,14.3,7.4,4.1
"188",0.622,102.8,45,36.2,80.1,45.9,21.9,13.6,6.4,4.5
"189",0.61,100.8,44.2,35.3,78.3,45.7,21.7,14,6.3,5.8
"190",0.61,105.2,46.3,35.2,75.2,42.3,22.5,13,8.1,4.5
"191",0.598,104,45.5,35.2,78.7,41.5,20.7,12.9,7.5,4.4
"192",0.561,98.5,46.2,36,74.2,44.7,24,15,7.3,4.6
"193",0.549,99.4,45.7,37,75.1,43.5,22,13.3,6.7,6.2
"194",0.549,104,44.7,33.9,75.4,47.5,20.5,14.7,7.3,5.5
"195",0.5,97.8,45.9,36.3,75.7,42.1,23.6,16.7,9.6,4.9
"196",0.488,101.4,44.3,32.7,75.4,43.8,24.5,13.8,8.2,3.6
"197",0.476,102.4,45.2,34.1,76,43.2,20.2,15.1,8.5,4.7
"198",0.463,98,45.1,33.1,74.8,42.4,20.9,13.8,7,4.1
"199",0.463,97.3,43.9,35.2,75.6,44.9,21.4,14,6.2,4.6
"200",0.463,95.1,44.7,34.3,72.1,44,19.9,15.3,7.6,6
"201",0.451,94.7,45.6,33.5,74.1,39.1,19.8,14.8,7.8,4.5
"202",0.402,94.2,42,31.8,74.8,44.1,20.2,11.9,6.1,5.5
"203",0.39,98.5,43.2,34.4,70.3,44.9,21.6,13.4,7.6,4.7
"204",0.366,101.5,43.3,32.5,73.4,44.7,21.8,14.2,7.8,4.5
"205",0.354,101.3,45.5,34.1,76.2,44.2,20.3,16.3,6.7,4
