"","WINP","PTS","FGP","TPP","FTP","REB","AST","TOV","STL","BLK"
"429",0.573,99.5,46.3,36.3,78.8,39.5,22.2,13.5,7.1,3.9
"430",0.549,105.4,46.5,33.6,74.6,43.4,23.4,16.5,8.3,5.3
"431",0.537,94.6,46.4,34.3,69,40.8,20.5,14.6,6.9,5.4
"432",0.512,106.5,46.3,35.6,71.7,41.4,23.8,16,9.1,5.7
"433",0.512,103.3,46.6,35.3,74.7,41.2,22.6,15.5,7.3,5.1
"434",0.5,97.6,45.7,36.3,72.7,40.8,23.9,14.8,6.1,3.3
"435",0.5,104.3,45,34.8,76.5,41.2,20.2,13.8,7.7,4.6
"436",0.488,95.6,45.6,34.8,78.8,41.1,21.5,15.1,7.3,5.8
"437",0.488,94.8,47.2,35.6,70.2,40.7,18.6,17,6.9,5.1
"438",0.476,95.5,44.5,36.2,74,43.1,18.7,14.5,6.4,4.2
"439",0.427,95.6,43.8,34.6,76,41.8,20.5,16.3,7.3,5.5
"440",0.427,94.9,45.8,34.5,76.7,39.7,20.4,15.3,7.2,4.8
"441",0.402,96.9,44.6,35.7,73.4,39.8,22.4,14.9,7.8,4.5
"442",0.402,97.5,45.7,34.6,71.5,43.3,18.7,17.1,6.6,3.2
"443",0.402,101.3,45,35,76.5,38.9,20.3,14.6,8.2,3.2
"444",0.39,96.1,46.1,35.3,79.2,40.1,22.5,15.6,6.5,4
"445",0.39,94.1,45,34.6,76.9,39.3,18.5,15.1,6.8,4.6
"446",0.378,99.1,46,36.2,79.1,39.6,20.7,15.5,7.7,3.7
"447",0.366,93.7,44.4,32.9,76.1,40.1,19.2,15.9,7.4,5.4
"448",0.341,99.7,46.5,35.6,73.3,39.2,21.6,15.1,7.2,2.7
"449",0.293,95.8,44.3,36.7,76.7,40.4,19.9,16.5,7.2,4.7
"450",0.268,101.6,46.5,36.7,76.1,39.5,20.5,16.4,6.9,5
"451",0.78,96.8,45.5,38.4,72.7,40.5,24,11.4,7.1,6
"452",0.768,95.6,47.2,38.5,70.2,41.5,20.9,13.7,6.6,5.7
"453",0.732,99.1,46.2,37.4,78.3,42.2,18,13.6,7.2,6
"454",0.659,108.4,47.9,39.9,80.6,41.8,26.6,13.3,6.7,5
"455",0.634,99.9,47.8,34.5,70,43.1,20.6,14.5,6.4,5.4
"456",0.61,97.6,45.4,33.9,72.9,42.3,19,13.9,6.9,4.8
"457",0.598,92.2,44.8,37.4,71.1,39.2,19.3,13.8,7.3,5.4
"458",0.598,93.8,44,33,75.8,41,23,13.6,6.8,3.4
"459",0.573,97.2,46.5,34.4,79.1,43.1,20.8,14.5,6.5,6.1
"460",0.549,99.4,45.3,34.9,74.5,42.2,21.1,13.9,7.7,4.3
"461",0.537,100.3,46.1,32.5,74.4,41.3,23.4,14.8,8.5,5.6
"462",0.537,98.9,45.4,35.1,78.4,40.5,22.3,14.6,7.4,3.6
"463",0.512,101.7,44.7,35.7,75.7,41.2,18.6,13.9,8,4.1
"464",0.5,97.8,44.6,37.9,73.8,42.8,22,14.9,6.2,4.2
"465",0.5,93.9,44.4,34.9,73.7,42.2,19.9,15.3,7.3,5
"466",0.5,92.4,44.2,33.6,71.9,42.1,21.6,15.7,6.4,6
"467",0.488,97.8,45.3,38,73.8,41.2,21.6,14.6,7.3,3.3
"468",0.463,92.8,44,33.9,75.8,40.2,18.5,13.4,7.5,3.8
"469",0.463,99.4,45.8,36.4,76,40.2,20.2,14.1,7.9,4.9
"470",0.439,94.9,47.2,37.6,73,40.2,18.2,15.1,6.5,4.4
"471",0.427,102.6,45.9,37.1,78.5,39.6,20.7,14.7,7.6,3.7
"472",0.415,98.5,43.3,34.1,71.8,42.3,20.7,14.1,7.4,4.3
"473",0.415,90.1,43.3,33.2,75.9,41.6,19.3,14.5,7.2,3.9
"474",0.402,98,46.7,36.2,75.5,39.6,20.9,16.6,7,5.1
"475",0.402,91.7,45.6,32.9,75.8,39.4,20.9,14.5,6.8,5.7
"476",0.329,101.1,45.4,37.5,79.1,38.5,19.4,13.1,6.5,3.3
"477",0.317,97.2,45.4,36.7,75,40.3,19.8,15.7,7.2,4.8
"478",0.317,96.9,43.3,33.9,72.9,39.8,20.9,14.2,10,4.3
"479",0.28,95.6,45.5,36.2,72.6,41.4,17.9,17.7,6.8,3.3
"480",0.256,88.8,44.5,34.9,68.9,37.7,18.2,14.7,6.5,5.3
"481",0.756,110.4,47.7,39.3,74.8,44.1,23.5,13.7,7,5.5
"482",0.72,101.5,48.6,37.7,67.2,43,21.8,13.7,6.4,5.8
"483",0.72,96.2,45.3,36.3,72.4,42.4,21.6,13.7,7.5,6.6
"484",0.707,102.5,45.7,36.4,78.9,42.9,19.6,13.4,8.6,5.6
"485",0.659,93.3,44.4,34.5,73.9,43.4,21.8,13.8,7,6.1
"486",0.634,98.9,44.4,36.5,79,40.9,18.1,13.6,6.7,4.1
"487",0.622,95.1,44.3,36.4,78.1,42.4,21.1,13.8,6.9,4.6
"488",0.61,103.7,45.9,37.4,78.7,42.4,24.5,13.1,8.2,3.9
"489",0.598,99.5,45.9,34,76.3,42,23.9,14.9,9.1,6
"490",0.573,94.5,43.2,35.7,75,43.8,21.3,16.7,7,4.5
"491",0.549,101.3,46.8,34.9,76.4,40.8,22.1,15.8,8.1,5.2
"492",0.549,93.4,44.7,35.7,75.4,39,20.9,14.6,8.5,5.8
"493",0.549,100.5,43.7,34.3,72.5,42.8,19.1,14.3,8.7,4.2
"494",0.537,93,43.2,34.4,79.2,40.1,18.2,14.3,7.5,4.4
"495",0.537,96.8,45.9,34.5,79.6,43,23.4,13.2,5.6,5.5
"496",0.524,99.1,43.7,34.8,78.9,42,20.9,15.5,9.2,3.9
"497",0.512,96.5,44.7,33.2,75.2,42.3,22.6,13.9,8,5.6
"498",0.512,91.4,42.9,36.2,76.3,39.5,21.6,14.2,7.9,3.8
"499",0.451,95.7,45.9,34.5,77.8,41.9,23.2,15.7,7.3,5.1
"500",0.439,99.5,45.4,34.9,75.9,43.7,19.3,16.1,7.7,5.4
"501",0.415,98.7,43,35.2,72.2,42.7,22.1,13.6,7.8,5.1
"502",0.415,98.7,43.7,35.5,77.7,43.2,20.4,14.3,6.2,4.2
"503",0.402,97.3,45.1,35.6,76.7,41,20.3,14.7,7.7,3.2
"504",0.402,99.7,44.4,38.5,77.4,40.1,20.4,13.3,7.6,3.9
"505",0.366,97.2,45,35.1,77.2,41.3,21,13.8,6.5,3.5
"506",0.329,92.9,45.1,36.2,72.5,41.1,21,16,7.1,6.6
"507",0.317,93,44.9,32.8,75.7,40.1,22.3,15.8,6.6,4.6
"508",0.22,94.3,43.2,36.3,70.9,41.7,21.9,14.5,8.5,5.4
"509",0.22,88.4,41.5,31.5,76.6,40.2,21,14.8,6.7,3.8
"510",0.159,92.7,44.1,31.2,71.1,41.9,19.7,16.1,7.7,4.2
"511",0.744,91.4,43.5,35.1,76.4,41.7,21.6,14.4,8.9,5
"512",0.707,94.5,46.2,36.3,78.1,42.9,23,12.7,6.8,5.6
"513",0.695,91.5,44.2,35.8,68.1,45.1,20.4,14.7,8.1,6.5
"514",0.683,98.2,45.4,32.7,69.3,43.1,23.8,13.8,8.3,4.6
"515",0.671,102.8,46.2,40.1,79.5,41.2,26.2,13.9,8.7,4
"516",0.659,90.1,43.5,34.4,75.3,42.8,20.8,15.1,8,7
"517",0.634,105.2,45.9,34.8,79.6,45.3,23.9,12.2,8,5.3
"518",0.61,96.7,44.5,34,72.7,41.8,23.4,15,9.7,6.9
"519",0.573,90.3,44.1,33.6,75.3,40.7,24.5,14.7,8.6,3.9
"520",0.549,89.8,44.2,36.6,77.3,42.6,19.3,16.7,6.8,5.4
"521",0.524,97.2,44.3,33.6,76.7,42.3,21.9,15.6,9.1,6.3
"522",0.512,90.3,42.5,35.7,76.2,41.5,19.1,13.9,7.2,3.8
"523",0.512,88.7,43.6,32.1,74.6,41.2,20.4,16.6,7.1,6
"524",0.5,98,44.7,35,77.5,42.2,22.8,13.5,6.8,4.7
"525",0.5,91.8,42,31.9,75.1,42.8,20.9,15,8.6,4.2
"526",0.5,90.7,44.8,34.6,73.1,41.7,21.6,14.8,7.5,5.4
"527",0.476,92,44.2,36.4,79.3,42.6,20.7,15.7,7.4,4.8
"528",0.451,93.3,44.2,33.4,72.5,43.1,20.5,14.8,7,4.7
"529",0.451,97.1,44.6,37.3,76.5,39.3,21.7,14.5,8.1,4.7
"530",0.439,95.3,44.3,34.6,75,40.1,20.5,16.2,9.4,4
"531",0.427,92.9,43.3,31.4,75.3,45.6,22,14.8,7.1,6.5
"532",0.402,88,42.8,34.2,75.3,40.8,20,15.9,8,4.4
"533",0.402,85.4,41.8,35.6,75,39.6,19.2,14.2,7.4,4.9
"534",0.354,94.2,44.3,34.5,74.6,40.6,19.3,15.2,9,4.7
"535",0.341,92.8,43.3,33.5,77.6,42.7,20.1,16.5,7.6,5
"536",0.341,94.8,42.8,32.1,78.5,43.5,20.2,16.4,7.2,4.6
"537",0.305,91.8,42.1,34.2,71.4,42.8,18.7,17.5,8.9,5
"538",0.28,89.7,41.4,34.2,72.5,43.5,21.9,16.1,8,4.8
"539",0.256,94,42.9,34.4,73.7,40.9,19.3,13.7,6.7,3.8
"540",0.732,103,45.3,38.1,82.9,42.1,22.4,11.6,8.1,5.5
"541",0.732,95.8,46.2,35.4,72.5,42.6,20,15.8,7.7,6.5
"542",0.72,101.7,46.4,38.1,74.6,44.5,24.8,14.5,9,5.6
"543",0.622,98.1,46.6,36.8,77,43.6,25.2,13.7,6.7,5.3
"544",0.61,91.4,43,35.8,77.1,40.6,19.8,13.5,6.8,5.7
"545",0.61,100.4,45.1,35.6,73.4,44.3,23.3,14.5,7.8,5.7
"546",0.61,95.2,46,33,74.5,41.1,22.7,15.2,8.8,3.9
"547",0.598,95.4,44.1,33.2,75.7,42.9,23,14.8,8.7,4.6
"548",0.585,96.8,44.1,33.9,76.6,44.2,23.3,14.8,8.5,5.4
"549",0.585,96.8,44.8,31.1,77.5,42.2,21.6,14.8,10.3,3.5
"550",0.573,93.9,43.5,37.6,76.8,43.6,22,14.8,8,4.8
"551",0.573,94.7,46.8,34.9,74.5,41.5,25.6,16.8,8.6,5.7
"552",0.537,92.7,41.5,33.4,74.2,40.5,19.2,14,8.8,3.7
"553",0.537,95.5,44.3,34.3,74.2,42.5,21,14.7,8.1,4.9
"554",0.524,93.8,44,34.6,76.8,43.8,18.4,15.6,7.2,6
"555",0.512,99.5,45.7,38.3,77.6,39.5,22.2,12.7,7.6,4.2
"556",0.512,98.5,43.6,35.7,77.7,40.9,20.4,14.4,8.5,3.7
"557",0.488,92.1,43.7,35.3,74.4,40.8,21.6,13.2,8.3,3.6
"558",0.463,102.4,44.1,34.4,77.8,46.7,20.9,15.8,7.2,6.2
"559",0.451,95.9,44.1,38.3,81.5,39.2,22,14,7.1,3.1
"560",0.451,91.5,44,31.2,77.9,40.4,19.7,13.4,7.6,4.8
"561",0.427,94.1,44.4,35.2,79.3,42.6,20.5,16.7,7.5,5.8
"562",0.366,95,44.5,35,72.2,43,21.7,16.9,7.4,5.6
"563",0.341,97.5,45.2,36.5,73.9,41.6,23.1,15.4,7.9,6.1
"564",0.329,93.8,43.7,33.1,75,42.3,19.6,15.7,7,5.6
"565",0.305,85.6,41.2,31.6,76.5,41.6,18.3,14.2,7.2,4
"566",0.293,90.9,42.7,34.3,71.8,41.2,19.3,14.4,7.4,4.8
"567",0.207,91.4,42.2,32.7,74.7,44.6,20.9,18.3,7.8,6.4
"568",0.207,84.2,41.1,27.8,69.9,42.4,21.2,18.5,8.7,5.1
"569",0.744,104.6,46.7,36.7,75.1,45.3,23.9,13.8,9,4.6
"570",0.707,101.3,46.1,35.4,69.9,44.3,23,12.7,7.6,5.8
"571",0.707,96.7,45.8,36.2,74.2,42.4,20,14.4,7.6,6.5
"572",0.695,105.2,46.2,37.8,80.6,42.5,22.1,12.1,7.1,4.8
"573",0.634,96.2,44.6,33.8,73.5,43.3,24.3,14.5,8.7,6
"574",0.61,94.3,45.2,37.6,75.6,38.7,21.5,14.5,7.9,6.9
"575",0.61,99.3,46.1,37.8,79.8,44.2,24.3,13.4,6.4,5.2
"576",0.598,96.4,42.4,35.9,76.4,42.2,21,13.6,9.7,3.6
"577",0.598,96.6,45,35.4,76.3,43,23.5,14.3,8.6,4.5
"578",0.549,97.7,46.9,37.8,75.5,40.3,23.5,13.7,8.5,4.4
"579",0.537,93.9,44,34.8,74.5,43.5,21.5,14,8,5.6
"580",0.537,100.5,44.8,37.3,75.4,41.2,22,13.6,8.1,4.7
"581",0.537,96,45,33.3,76.3,42.2,24.4,16.5,9.1,6.4
"582",0.524,91,43.6,29.9,77.9,44.2,20,15.3,8.6,4.4
"583",0.512,96.8,44.6,33.9,77.2,42.7,23,15.2,8,5.3
"584",0.512,91.4,43.4,34.9,73.9,42.1,21.7,14.3,8.4,5.6
"585",0.5,97.5,46.2,37.5,74.8,41.4,22.5,14.1,7.3,4.7
"586",0.476,95.7,44.5,35.6,73.9,43.4,20.9,14.8,6.2,6.6
"587",0.451,92.8,44.1,38.8,76.5,42,20.9,13,7,4.3
"588",0.439,87.2,43.9,34.7,72.4,42,20.3,14.8,6.7,5.5
"589",0.439,95.1,44.7,32.7,76.7,42.7,22.4,14.7,8.1,4.9
"590",0.402,94,43.9,35.4,76.5,41.5,20.2,15.5,8.1,4.3
"591",0.366,91.6,43.2,35.3,78.7,40.7,21,14.5,6.8,3.5
"592",0.354,95.3,44.8,37.7,77.2,42.1,23.1,14.6,7,5.7
"593",0.341,92.3,42.8,33.5,74.1,41.9,18.1,14.1,6.5,5.4
"594",0.329,92.2,42.4,32.9,74.4,41.8,22.2,14.7,7.5,5.6
"595",0.28,89.9,43.6,30.7,70.8,41.4,21.8,16.4,7.9,6
"596",0.256,89.5,43.3,34.6,72.2,40,22.2,15.3,7.7,4.4
"597",0.256,97.7,42.9,32.2,72.2,46.7,20.8,16.8,7.9,6.4
"598",0.707,96.2,46.1,40.7,71.5,44.1,21.7,14,6.9,7
"599",0.683,100.6,46.5,34.4,68.3,44.7,23,14.4,6.9,6
"600",0.683,94.7,44.7,32.6,74.5,44.8,20.6,15.8,8.4,5
"601",0.671,101.7,44.9,35.4,77.1,45,22.6,14.9,9.7,5.3
"602",0.646,100.5,45.9,38.1,79.4,41.5,21.2,13.9,7.5,6
"603",0.646,97.1,47.1,38.1,75.2,40.6,25.7,15.8,8.1,5.6
"604",0.634,100.7,45.8,37.9,78.7,42.4,22.5,13.7,8.2,4.7
"605",0.622,94,43.6,31.5,75.5,42.7,23.2,15.3,9.5,5.2
"606",0.61,88.9,43,34.5,75.9,39.6,19.9,13.7,7.7,3.7
"607",0.61,95.4,46.8,34.9,76.2,42,23.9,15.3,8.2,5.1
"608",0.585,88.7,44.4,35.1,79.6,40.2,18.5,14.5,6.6,4.2
"609",0.573,97.3,45.8,35.7,78.5,42.3,25.4,13.9,8.3,5.6
"610",0.573,97.6,43.7,36.9,74.7,44.5,24.4,13.2,7.3,6.3
"611",0.561,91.9,43.1,34.6,74.5,44.4,23.2,14.4,8.1,5.5
"612",0.549,97.2,45.3,35.7,75.8,42,19.7,14.7,7.2,4.4
"613",0.537,97.3,45.6,39.9,73.2,41.7,21.9,15.3,8,5
"614",0.524,97.5,43.8,36.4,71.4,42.9,22,15.2,8.2,5.9
"615",0.5,92.6,44,34.2,76.6,42.9,21.5,15.2,6.9,5.9
"616",0.488,96.6,43.3,35.5,73.7,44.2,24,13.9,6.7,6.6
"617",0.439,94.6,42.8,36.3,74,39.8,20.8,15.7,9.4,4.1
"618",0.39,95.6,42.4,35,72.1,45.5,19.9,15.9,7.5,5.5
"619",0.378,92.5,44.8,33.9,69.3,42.9,19.3,15.8,6,6.3
"620",0.366,92.2,44.2,33.4,76.5,42.1,20.8,16.5,7.8,5.3
"621",0.317,92.1,42.5,33.3,75.9,39.6,19.5,14.7,7.9,5
"622",0.305,91,43.1,35.7,75.9,42.9,19,16.7,7.7,4.7
"623",0.28,91.7,43.9,34.3,77,40.5,23.2,15.7,7.1,4.4
"624",0.232,93.2,43.9,32.4,75.9,41.3,20.1,17,7.7,4.7
"625",0.207,92.5,40.9,29.3,70.6,45.5,21.8,15.9,9,5
"626",0.183,87.6,42.4,34.6,73.9,38.9,22.1,15.8,8.2,4.6
